Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676
XGBoost,0.7846481876332623,0.6112852664576802,0.5213903743315508,0.5627705627705628,0.8349105196949852
Random Forest,0.7903340440653873,0.6357388316151202,0.4946524064171123,0.556390977443609,0.8127941047051577
